ID,URL
15847,edgar/data/15847/000001584715000028/Financial_Report.xlsx
16040,edgar/data/16040/000156459015011128/Financial_Report.xlsx
16058,edgar/data/16058/000156459015007527/Financial_Report.xlsx
16099,edgar/data/16099/000143774915020265/Financial_Report.xlsx
16160,edgar/data/16160/000001616015000019/Financial_Report.xlsx
16732,edgar/data/16732/000001673215000034/Financial_Report.xlsx
16918,edgar/data/16918/000001691815000016/Financial_Report.xlsx
17313,edgar/data/17313/000114036115023093/Financial_Report.xlsx
17485,edgar/data/17485/000107878215002021/Financial_Report.xlsx
17797,edgar/data/17797/000132616015000008/Financial_Report.xlsx
17843,edgar/data/17843/000001784315000026/Financial_Report.xlsx
18172,edgar/data/18172/000001817215000007/Financial_Report.xlsx
18230,edgar/data/18230/000001823015000061/Financial_Report.xlsx
18255,edgar/data/18255/000001825515000009/Financial_Report.xlsx
18349,edgar/data/18349/000162828015001358/Financial_Report.xlsx
18396,edgar/data/18396/000001839615000024/Financial_Report.xlsx
18498,edgar/data/18498/000001849815000014/Financial_Report.xlsx
18654,edgar/data/18654/000100291015000075/Financial_Report.xlsx
18672,edgar/data/18672/000108981915000019/Financial_Report.xlsx
18926,edgar/data/18926/000001892615000008/Financial_Report.xlsx
19149,edgar/data/19149/000001914915000004/Financial_Report.xlsx
19411,edgar/data/19411/000104746915001263/Financial_Report.xlsx
19446,edgar/data/19446/000110465915068104/Financial_Report.xlsx
19584,edgar/data/19584/000115752315000756/Financial_Report.xlsx
19612,edgar/data/19612/000001961215000021/Financial_Report.xlsx
19617,edgar/data/19617/000001961715000272/Financial_Report.xlsx
19745,edgar/data/19745/000162828015001482/Financial_Report.xlsx
19871,edgar/data/19871/000119312515100150/Financial_Report.xlsx
20171,edgar/data/20171/000119312515065654/Financial_Report.xlsx
20212,edgar/data/20212/000002021215000011/Financial_Report.xlsx
20286,edgar/data/20286/000002028615000011/Financial_Report.xlsx
20290,edgar/data/20290/000132616015000008/Financial_Report.xlsx
20520,edgar/data/20520/000002052015000011/Financial_Report.xlsx
20629,edgar/data/20629/000002062915000028/Financial_Report.xlsx
20639,edgar/data/20639/000002063915000006/Financial_Report.xlsx
20740,edgar/data/20740/000002074015000023/Financial_Report.xlsx
20947,edgar/data/20947/000157844315000006/Financial_Report.xlsx
21076,edgar/data/21076/000120677415002800/Financial_Report.xlsx
21175,edgar/data/21175/000002117515000027/Financial_Report.xlsx
21344,edgar/data/21344/000002134415000005/Financial_Report.xlsx
21510,edgar/data/21510/000002151015000035/Financial_Report.xlsx
21535,edgar/data/21535/000119312515059529/Financial_Report.xlsx
21665,edgar/data/21665/000162828015000846/Financial_Report.xlsx
22252,edgar/data/22252/000143774915008491/Financial_Report.xlsx
22356,edgar/data/22356/000002235615000013/Financial_Report.xlsx
22444,edgar/data/22444/000002244415000023/Financial_Report.xlsx
22606,edgar/data/22606/000119312515049964/Financial_Report.xlsx
